cell_type,gene_name
Oligodendrocytes,MOG
Oligodendrocytes,CNP
Oligodendrocytes,SLC44A1
Oligodendrocytes,RASGRP3
Oligodendrocytes,CAPN3
Oligodendrocytes,CLDND1
Oligodendrocytes,TJAP1
Oligodendrocytes,SLC31A2
Oligodendrocytes,C10orf90
Oligodendrocytes,UGT8
Oligodendrocytes,ERBB3
Oligodendrocytes,SLC45A3
Oligodendrocytes,FA2H
Oligodendrocytes,TTYH2
Oligodendrocytes,FAM107B
Oligodendrocytes,TMEM98
Oligodendrocytes,CNTN2
Oligodendrocytes,TMEM63A
Oligodendrocytes,ASPA
Oligodendrocytes,RNASE1
Oligodendrocytes,SLAIN1
Oligodendrocytes,ENPP2
Oligodendrocytes,ANLN
Oligodendrocytes,GPR37
Oligodendrocytes,HSPA2
Oligodendrocytes,TMEM144
Oligodendrocytes,NPC1
Oligodendrocytes,SH3TC2
Oligodendrocytes,CA14
Oligodendrocytes,RFFL
Oligodendrocytes,USP54
Oligodendrocytes,RNF130
Oligodendrocytes,CNKSR3
Oligodendrocytes,RASSF2
Oligodendrocytes,NDE1
Oligodendrocytes,PXK
Oligodendrocytes,DBNDD2
Oligodendrocytes,GLDN
Oligodendrocytes,MYRF
Oligodendrocytes,MAP7
Oligodendrocytes,SLC25A13
Oligodendrocytes,ADIPOR2
Oligodendrocytes,MYO1D
Oligodendrocytes,MAG
Oligodendrocytes,TMEM125
Oligodendrocytes,OPALIN
Oligodendrocytes,CDH19
Oligodendrocytes,SLC5A11
Oligodendrocytes,ABCA8
Oligodendrocytes,PLP1
Oligodendrocytes,CMTM5
Oligodendrocytes,FAXDC2
Oligodendrocytes,C21orf91
Oligodendrocytes,DOCK10
Oligodendrocytes,PSEN1
Oligodendrocytes,ZNF536
Oligodendrocytes,SEPP1
Oligodendrocytes,TMTC4
Oligodendrocytes,TF
Oligodendrocytes,CD22
Oligodendrocytes,KIF13B
Oligodendrocytes,MOBP
Oligodendrocytes,ST18
Oligodendrocytes,RHOG
Oligodendrocytes,TMTC2
Oligodendrocytes,FBXO7
Oligodendrocytes,MAP6D1
Oligodendrocytes,SHC4
Oligodendrocytes,LAMP2
Oligodendrocytes,BTBD16
Oligodendrocytes,RDX
Oligodendrocytes,TRPM6
Oligodendrocytes,EFS
Oligodendrocytes,RBP7
Oligodendrocytes,RHOU
Oligodendrocytes,CNDP1
Oligodendrocytes,SLCO3A1
Oligodendrocytes,PMP22
Oligodendrocytes,TMEM206
Oligodendrocytes,ANKRD13A
Oligodendrocytes,ZDHHC9
Oligodendrocytes,SLC35D2
Oligodendrocytes,MYO1E
Oligodendrocytes,CLDN11
Oligodendrocytes,PIK3C2B
Oligodendrocytes,PLA2G16
Oligodendrocytes,FAM124A
Oligodendrocytes,TMCC3
Oligodendrocytes,GAB1
Oligodendrocytes,CERS2
Oligodendrocytes,ERMN
Oligodendrocytes,PLLP
Oligodendrocytes,CLIC4
Oligodendrocytes,ATP10B
Oligodendrocytes,SEMA4D
Oligodendrocytes,CARNS1
Oligodendrocytes,PIP4K2A
Oligodendrocytes,NEK3
Oligodendrocytes,CREB5
Oligodendrocytes,PRRG1
Neurons,CNR1
Neurons,ATP2A2
Neurons,TRIM23
Neurons,MAPK9
Neurons,SNAP25
Neurons,TSNAX
Neurons,ABI2
Neurons,MAPK1
Neurons,ACP1
Neurons,TRIM37
Neurons,CHL1
Neurons,CAPRIN1
Neurons,IPO5
Neurons,ACTR3B
Neurons,PTPRO
Neurons,ANKRD13C
Neurons,RHOT1
Neurons,BTBD1
Neurons,CCNC
Neurons,SLC6A15
Neurons,CACNA2D1
Neurons,ATP2C1
Neurons,CLASP2
Neurons,NRXN1
Neurons,UBR1
Neurons,ATF2
Neurons,MAPK14
Neurons,TOMM20
Neurons,RGS4
Neurons,RAB2A
Neurons,NDUFAF4
Neurons,OXCT1
Neurons,CNKSR2
Neurons,ATRNL1
Neurons,MOCS2
Neurons,SLC30A5
Neurons,METAP1
Neurons,ACSL3
Neurons,BRMS1L
Neurons,RNF11
Neurons,BCAP29
Neurons,PAM
Neurons,TOMM70A
Neurons,MAP4K3
Neurons,CMAS
Neurons,G3BP2
Neurons,CDC40
Neurons,MATR3
Neurons,SSX2IP
Neurons,GABRA4
Neurons,SLC25A40
