cell_type,gene_id,gene_name,gene_biotype,FC,FDR
L2/3,ENSG00000185352,HS6ST3,protein_coding,2.21371061121588,0
L2/3,ENSG00000185774,KCNIP4,protein_coding,2.11900520578113,0
L2/3,ENSG00000176204,LRRTM4,protein_coding,1.73198517441938,1.08916902296461E-274
L2/3,ENSG00000183662,FAM19A1,protein_coding,2.42297157623322,1.83296619778053E-273
L2/3,ENSG00000111249,CUX2,protein_coding,1.81966552070089,6.28975003356579E-273
L2/3,ENSG00000250588,IQCJ-SCHIP1,protein_coding,1.91049967072797,8.48140536299411E-273
L2/3,ENSG00000229618,AC011288.2,lincRNA,2.64809058804431,5.97344190753582E-256
L2/3,ENSG00000048991,R3HDM1,protein_coding,1.19028826287483,9.96207736338163E-230
L2/3,ENSG00000141668,CBLN2,protein_coding,1.9499353058909,5.24129360844474E-228
L2/3,ENSG00000251293,CTC-552D5.1,lincRNA,1.36578633932576,3.91913975987024E-227
L2/3,ENSG00000152578,GRIA4,protein_coding,1.64567846233862,1.45757641583618E-217
L2/3,ENSG00000136267,DGKB,protein_coding,1.53095674261204,1.28240538909272E-184
L2/3,ENSG00000236922,LINC01378,lincRNA,1.47922297947476,1.4395348111945E-170
L2/3,ENSG00000177707,PVRL3,protein_coding,1.51427619792816,2.01083480225814E-152
L2/3,ENSG00000080224,EPHA6,protein_coding,1.84478143415604,4.01067365737472E-143
L2/3,ENSG00000135426,TESPA1,protein_coding,1.06374754268289,2.53938301419404E-141
L2/3,ENSG00000183117,CSMD1,protein_coding,1.05752801741685,2.05746797281648E-139
L2/3,ENSG00000169744,LDB2,protein_coding,1.34333717123572,4.00184993146726E-136
L2/3,ENSG00000154975,CA10,protein_coding,1.50791743198151,1.42382921110963E-133
L2/3,ENSG00000146147,MLIP,protein_coding,1.37772730011879,4.22991463106709E-131
L2/3,ENSG00000171617,ENC1,protein_coding,1.51045579677095,1.11775951150143E-128
L2/3,ENSG00000234423,LINC01250,lincRNA,1.26815842916533,6.42019330371867E-122
L2/3,ENSG00000236886,AC007563.5,antisense,1.013274794956,3.41381922163115E-119
L2/3,ENSG00000254101,RP11-30J20.1,lincRNA,1.07741370696114,7.20465611423226E-110
L2/3,ENSG00000080298,RFX3,protein_coding,1.12230767668244,8.20059625466685E-107
L2/3,ENSG00000119042,SATB2,protein_coding,1.08151548928601,4.21815425679388E-106
L2/3,ENSG00000164100,NDST3,protein_coding,1.20597042120726,1.07554951244517E-102
L2/3,ENSG00000133019,CHRM3,protein_coding,1.12024480004775,1.88300053871666E-101
L2/3,ENSG00000183775,KCTD16,protein_coding,1.07156507101177,1.04603547094283E-100
L2/3,ENSG00000184347,SLIT3,protein_coding,1.08794774679483,4.39744819621162E-98
L2/3,ENSG00000182732,RGS6,protein_coding,1.24683948998556,4.0023828526016E-97
L2/3,ENSG00000116106,EPHA4,protein_coding,1.10216099483849,4.64455096528552E-95
L2/3,ENSG00000174482,LINGO2,protein_coding,1.31757253959105,1.14684185389238E-90
L2/3,ENSG00000152894,PTPRK,protein_coding,1.19807825865704,2.1008617139231E-88
L2/3,ENSG00000172995,ARPP21,protein_coding,1.06819861095562,1.84705894931169E-85
L2/3,ENSG00000145526,CDH18,protein_coding,1.0351460117522,7.20270065085276E-85
L2/3,ENSG00000237647,ERICH1-AS1,antisense,1.06246600042292,2.39031157312733E-83
L2/3,ENSG00000079819,EPB41L2,protein_coding,1.04924565927744,2.89800958267232E-80
L2/3,ENSG00000154162,CDH12,protein_coding,1.31601428680607,1.51242940418334E-79
L2/3,ENSG00000149571,KIRREL3,protein_coding,1.15277747435752,4.48181078212305E-78
L2/3,ENSG00000198673,FAM19A2,protein_coding,1.21123135803007,8.52776748991041E-72
L2/3,ENSG00000174473,GALNTL6,protein_coding,1.20974563642094,2.19908378379989E-71
L2/3,ENSG00000184672,RALYL,protein_coding,1.01020138452182,5.05067481984022E-69
L2/3,ENSG00000134343,ANO3,protein_coding,1.00163384917695,2.056976279895E-62
L2/3,ENSG00000140945,CDH13,protein_coding,1.01784192751387,7.63466509400804E-62
L2/3,ENSG00000183098,GPC6,protein_coding,1.13883416018494,1.34131510403951E-61
L2/3,ENSG00000133401,PDZD2,protein_coding,1.00322883695787,2.46216309112548E-59
L4,ENSG00000106536,POU6F2,protein_coding,2.15764650548841,0
L4,ENSG00000128573,FOXP2,protein_coding,2.2141108311115,0
L4,ENSG00000153707,PTPRD,protein_coding,1.52498503756104,0
L4,ENSG00000189108,IL1RAPL2,protein_coding,2.69314132104551,0
L4,ENSG00000198963,RORB,protein_coding,2.43962485557115,0
L4,ENSG00000184672,RALYL,protein_coding,1.87009927589895,2.30906660048409E-301
L4,ENSG00000241956,CTC-340A15.2,antisense,1.91544423509691,8.23248518940207E-248
L4,ENSG00000182463,TSHZ2,protein_coding,2.00900850752176,3.69305497436879E-243
L4,ENSG00000185774,KCNIP4,protein_coding,1.50824725014057,3.69500436062344E-231
L4,ENSG00000053108,FSTL4,protein_coding,1.72958309181881,2.74490028854319E-211
L4,ENSG00000196353,CPNE4,protein_coding,1.7408639855883,5.21534703824718E-200
L4,ENSG00000122254,HS3ST2,protein_coding,1.05161366823654,8.17711781184184E-198
L4,ENSG00000253693,CTC-535M15.2,lincRNA,1.25435942950751,3.52963608303003E-197
L4,ENSG00000185760,KCNQ5,protein_coding,1.3068254241981,2.78335960809447E-189
L4,ENSG00000250588,IQCJ-SCHIP1,protein_coding,1.56218489573432,1.93310073316664E-184
L4,ENSG00000198626,RYR2,protein_coding,1.18199811173107,2.95178728293138E-182
L4,ENSG00000067715,SYT1,protein_coding,1.12945315209549,1.22864419343758E-172
L4,ENSG00000081803,CADPS2,protein_coding,1.58425842108944,2.1438779167567E-170
L4,ENSG00000188580,NKAIN2,protein_coding,1.26382729271972,7.73852678373979E-169
L4,ENSG00000184999,SLC22A10,protein_coding,1.2291207866727,1.60425398792172E-166
L4,ENSG00000171509,RXFP1,protein_coding,1.20906282287759,1.11455885253729E-165
L4,ENSG00000131773,KHDRBS3,protein_coding,1.27600824175926,1.12282863190718E-163
L4,ENSG00000157168,NRG1,protein_coding,1.69386190612327,2.78185411537064E-163
L4,ENSG00000182601,HS3ST4,protein_coding,1.47427006234713,1.12476290587683E-158
L4,ENSG00000112137,PHACTR1,protein_coding,1.05179973318635,4.03092780625422E-157
L4,ENSG00000184613,NELL2,protein_coding,1.26994659176863,9.67885146336402E-153
L4,ENSG00000149972,CNTN5,protein_coding,1.51800345219489,8.26772079727776E-149
L4,ENSG00000119042,SATB2,protein_coding,1.21896891518572,7.66237374071748E-147
L4,ENSG00000169744,LDB2,protein_coding,1.26911769842589,5.0619116839278E-146
L4,ENSG00000172995,ARPP21,protein_coding,1.3127737841336,7.3613256817224E-145
