	Astrocyte	Endothelial	Microglia	Oligodendrocyte	Neuron
SL283585	0.362147047	0.157371038	0	0.403446276	0.077035638
SL283586	0.417077809	0	0	0.18398462	0.398937571
SL283598	0.124261795	0	0	0.230131445	0.64560676
SL283596	0.459193817	0	0	0.388794731	0.152011452
SL283592	0.500398305	0	0	0.327224812	0.172376884
SL283588	0.306773637	0	0	0.142751262	0.550475101
SL283600	0.555706067	0	0	0.292053251	0.152240682
SL283594	0.11252155	0	0	0.119435876	0.768042575
SL283590	0.882221932	0.026323339	0	0.091454728	0
SL283602	0.16703613	0	0	0.513097367	0.319866503
SL283608	0.487110354	0	0	0.183539708	0.329349938
SL283604	0.30848592	0	0	0.338137307	0.353376773
SL283606	0.196874327	0	0	0.167199143	0.635926529
SL283616	0.812482911	0	0	0.051449463	0.136067625
SL283610	0.094061204	0	0	0.040669802	0.865268994
SL283612	0.272432339	0	0	0.091714321	0.63585334
SL283614	0.376217869	0	0.006404537	0.282620908	0.334756686
SL283617	0.249600571	0	0.00545928	0.328861052	0.416079097
SL283566	0.113413124	0.043410647	0.006110732	0.109518451	0.727547046
SL283568	0.160320592	0	0	0.159970195	0.679709213
SL283570	0.206378013	0.034500535	0.001799633	0.054073827	0.703247993
SL283572	0.144068765	0	0	0.116829616	0.739101618
SL283574	0.146825435	0	0	0.297002723	0.556171842
SL283576	0.092552194	0.003041783	0	0.044617938	0.859788085
SL283578	0.142981404	0	0	0.087294941	0.769723655
SL283580	0.197678911	0	0	0.11708587	0.685235218
SL283582	0.199585801	0	0	0.117534785	0.682879414
SL283595	0.582796992	0	0	0.101271048	0.31593196
SL283591	0.432009587	0	0	0.085245779	0.482744633
SL283587	0.071254265	0	0	0.017013867	0.911731869
SL283597	0.888192543	0.050007236	0	0.061800221	0
SL283603	0.058630756	0	0	0.072839896	0.868529348
SL283589	0.39036909	0	0.012928864	0.260169043	0.336533003
SL283605	0.184666229	0	0	0.048043734	0.767290037
SL283599	0.729332937	0	0	0.041492351	0.229174712
SL283593	0.314745041	0	0	0.090923851	0.594331108
SL283618	0.291728993	0.033684459	0.045941122	0.314705759	0.313939666
SL283601	0.437322223	0	0	0.122586292	0.440091485
SL283565	0.166789039	0	0	0.507994089	0.325216872
SL283567	0.221616655	0	0	0.143311359	0.635071986
SL283569	0.176599908	0	0	0.142937027	0.680463065
SL283571	0.213315706	0	0	0.222622581	0.564061713
SL283573	0.165752301	0	0	0.134662677	0.699585023
SL283575	0.797660372	0	0	0.202339628	0
SL283577	0.24232673	0	0	0.173100155	0.584573115
SL283579	0.173536159	0	0	0.079219895	0.747243946
SL283581	0.102205148	0.019786264	0	0.058201369	0.819807219
SL283583	0.141380865	0.001662822	0	0.130270654	0.726685659
SL283584	0.649552958	0	0	0.088101833	0.262345209
