"Assay","Individual_ID","Sample_ID","File_Name","BrodmannArea","BrainRegion","Hemisphere","CellType","TissueState","HistoneMark","HistoneAntibody","ChromatinAmount","AntibodyAmount","LibraryBatch","LibraryKit","RunType","ReadLength","FlowcellBatch","SequencingPlatform","MappedReads"
"ChIP-Seq","CMC_HBCC_361","HBCC_ACC_382_D","PEC_EpiMap_MSSM_ACC_Epigenomics_H3K27ac_NeuN-_HiSeq2500_CMC_HBCC_361",NA,"ACC","Right","NeuN-","chunk","H3K27ac","Active Motif Cat # 39133","8.775","4","21","KK8502","paired-end",100,NA,"HiSeq2500","54428234"
"ChIP-Seq","CMC_HBCC_361","HBCC_ACC_382_B","PEC_EpiMap_MSSM_ACC_Epigenomics_H3K4me3_NeuN-_HiSeq2500_CMC_HBCC_361",NA,"ACC","Right","NeuN-","chunk","H3K4me3","Cell Signaling Cat # 9751","0","10","4","KK8502","paired-end",100,"C6GACANXX","HiSeq2500","42379827"
"ChIP-Seq","CMC_HBCC_361","HBCC_ACC_382_Neg_IN","PEC_EpiMap_MSSM_ACC_Epigenomics_control_NeuN-_HiSeq2500_CMC_HBCC_361",NA,"ACC","Right","NeuN-","chunk","Input","Not applicable","12.6",NA,"Input 1","KK8502","paired-end",100,NA,"HiSeq2500","101085218"
"ChIP-Seq","CMC_HBCC_361","HBCC_ACC_382_C","PEC_EpiMap_MSSM_ACC_Epigenomics_H3K27ac_NeuN+_HiSeq2500_CMC_HBCC_361",NA,"ACC","Right","NeuN+","chunk","H3K27ac","Active Motif Cat # 39133","17.19","4","21","KK8502","paired-end",100,NA,"HiSeq2500","53636524"
"ChIP-Seq","CMC_HBCC_361","HBCC_ACC_382_A","PEC_EpiMap_MSSM_ACC_Epigenomics_H3K4me3_NeuN+_HiSeq2500_CMC_HBCC_361",NA,"ACC","Right","NeuN+","chunk","H3K4me3","Cell Signaling Cat # 9751","0","10","2","KK8502","paired-end",100,"C6BP4ANXX","HiSeq2500","58523629"
"ChIP-Seq","CMC_HBCC_361","HBCC_ACC_382_Pos_IN","PEC_EpiMap_MSSM_ACC_Epigenomics_control_NeuN+_HiSeq2500_CMC_HBCC_361",NA,"ACC","Right","NeuN+","chunk","Input","Not applicable","6.84",NA,"Input 1","KK8502","paired-end",100,"C74W7ANXX","HiSeq2500","167734938"
"ChIP-Seq","CMC_HBCC_361","HBCC_PFC_381_D","PEC_EpiMap_MSSM_DLPFC_Epigenomics_H3K27ac_NeuN-_HiSeq2500_CMC_HBCC_361","9_10","DLPFC","right","NeuN-","chunk","H3K27ac","Active Motif Cat # 39133","11.79","4","3","KK8502","paired-end",100,"C6GACANXX","HiSeq2500","126979211"
"ChIP-Seq","CMC_HBCC_361","HBCC_PFC_381_B","PEC_EpiMap_MSSM_DLPFC_Epigenomics_H3K4me3_NeuN-_HiSeq2500_CMC_HBCC_361","9_10","DLPFC","right","NeuN-","chunk","H3K4me3","Cell Signaling Cat # 9751","6.39","10","1","KK8502","paired-end",100,"C6GACANXX;C7HCYANXX","HiSeq2500","78981367"
"ChIP-Seq","CMC_HBCC_361","HBCC_PFC_381_Neg_IN","PEC_EpiMap_MSSM_DLPFC_Epigenomics_control_NeuN-_HiSeq2500_CMC_HBCC_361","9_10","DLPFC","right","NeuN-","chunk","Input","Not applicable","392.4",NA,"Input","KK8502","paired-end",100,"HFF3CBCXX","HiSeq2500","76690567"
"ChIP-Seq","CMC_HBCC_361","HBCC_PFC_381_C","PEC_EpiMap_MSSM_DLPFC_Epigenomics_H3K27ac_NeuN+_HiSeq2500_CMC_HBCC_361","9_10","DLPFC","right","NeuN+","chunk","H3K27ac","Active Motif Cat # 39133","18.36","4","1","KK8502","paired-end",100,"C6GACANXX","HiSeq2500","112422794"
"ChIP-Seq","CMC_HBCC_361","HBCC_PFC_381_A","PEC_EpiMap_MSSM_DLPFC_Epigenomics_H3K4me3_NeuN+_HiSeq2500_CMC_HBCC_361","9_10","DLPFC","right","NeuN+","chunk","H3K4me3","Cell Signaling Cat # 9751","22.68","10","4","KK8502","paired-end",100,"C6BP4ANXX","HiSeq2500","53574361"
"ChIP-Seq","CMC_HBCC_361","HBCC_PFC_381_Pos_IN","PEC_EpiMap_MSSM_DLPFC_Epigenomics_control_NeuN+_HiSeq2500_CMC_HBCC_361","9_10","DLPFC","right","NeuN+","chunk","Input","Not applicable","490.5",NA,"Input","KK8502","paired-end",100,"HFF3CBCXX","HiSeq2500","59618233"
"ChIP-Seq","CMC_HBCC_363","HBCC_ACC_340_D","PEC_EpiMap_MSSM_ACC_Epigenomics_H3K27ac_NeuN-_HiSeq2500_CMC_HBCC_363",NA,"ACC","Left","NeuN-","chunk","H3K27ac","Active Motif Cat # 39133","21.24","4","8","KK8502","paired-end",100,"C6B5YACXX","HiSeq2500","98545887"
"ChIP-Seq","CMC_HBCC_363","HBCC_ACC_340_B","PEC_EpiMap_MSSM_ACC_Epigenomics_H3K4me3_NeuN-_HiSeq2500_CMC_HBCC_363",NA,"ACC","Left","NeuN-","chunk","H3K4me3","Cell Signaling Cat # 9751","3.195","10","8","KK8502","paired-end",100,"C6B5YACXX","HiSeq2500","47794685"
"ChIP-Seq","CMC_HBCC_363","HBCC_ACC_340_C","PEC_EpiMap_MSSM_ACC_Epigenomics_H3K27ac_NeuN+_HiSeq2500_CMC_HBCC_363",NA,"ACC","Left","NeuN+","chunk","H3K27ac","Active Motif Cat # 39133","6.66","4","8","KK8502","paired-end",100,"C6B5YACXX","HiSeq2500","77709037"
"ChIP-Seq","CMC_HBCC_363","HBCC_ACC_340_A","PEC_EpiMap_MSSM_ACC_Epigenomics_H3K4me3_NeuN+_HiSeq2500_CMC_HBCC_363",NA,"ACC","Left","NeuN+","chunk","H3K4me3","Cell Signaling Cat # 9751","7.56","10","7","KK8502","paired-end",100,"C6B5YACXX","HiSeq2500","41310133"
"ChIP-Seq","CMC_HBCC_363","HBCC_PFC_339_D","PEC_EpiMap_MSSM_DLPFC_Epigenomics_H3K27ac_NeuN-_HiSeq2500_CMC_HBCC_363","9_10","DLPFC","left","NeuN-","chunk","H3K27ac","Active Motif Cat # 39133","10.26","4","5","KK8502","paired-end",100,"C6B5YACXX","HiSeq2500","106215999"
"ChIP-Seq","CMC_HBCC_363","HBCC_PFC_339_B","PEC_EpiMap_MSSM_DLPFC_Epigenomics_H3K4me3_NeuN-_HiSeq2500_CMC_HBCC_363","9_10","DLPFC","left","NeuN-","chunk","H3K4me3","Cell Signaling Cat # 9751","0","10","6","KK8502","paired-end",100,"C6B5YACXX","HiSeq2500","39304413"
"ChIP-Seq","CMC_HBCC_363","HBCC_PFC_339_C","PEC_EpiMap_MSSM_DLPFC_Epigenomics_H3K27ac_NeuN+_HiSeq2500_CMC_HBCC_363","9_10","DLPFC","left","NeuN+","chunk","H3K27ac","Active Motif Cat # 39133","16.92","4","8","KK8502","paired-end",100,"C6B5YACXX","HiSeq2500","85383589"
"ChIP-Seq","CMC_HBCC_363","HBCC_PFC_339_A","PEC_EpiMap_MSSM_DLPFC_Epigenomics_H3K4me3_NeuN+_HiSeq2500_CMC_HBCC_363","9_10","DLPFC","left","NeuN+","chunk","H3K4me3","Cell Signaling Cat # 9751","3.735","10","7","KK8502","paired-end",100,"C6B5YACXX","HiSeq2500","53980743"
"ChIP-Seq","CMC_HBCC_364","HBCC_ACC_378_B","PEC_EpiMap_MSSM_ACC_Epigenomics_H3K4me3_NeuN-_HiSeq2500_CMC_HBCC_364",NA,"ACC","Left","NeuN-","chunk","H3K4me3","Cell Signaling Cat # 9751","2.97","10","10","KK8502","paired-end",100,"C6RC5ANXX","HiSeq2500","48013075"
"ChIP-Seq","CMC_HBCC_364","HBCC_ACC_378_C","PEC_EpiMap_MSSM_ACC_Epigenomics_H3K27ac_NeuN+_HiSeq2500_CMC_HBCC_364",NA,"ACC","Left","NeuN+","chunk","H3K27ac","Active Motif Cat # 39133","5.445","4","12","KK8502","paired-end",100,"C7HCYANXX;C6RC5ANXX","HiSeq2500","120233094"
"ChIP-Seq","CMC_HBCC_364","HBCC_ACC_378_A","PEC_EpiMap_MSSM_ACC_Epigenomics_H3K4me3_NeuN+_HiSeq2500_CMC_HBCC_364",NA,"ACC","Left","NeuN+","chunk","H3K4me3","Cell Signaling Cat # 9751","7.245","10","21","KK8502","paired-end",100,"HGFJKBCXX","HiSeq2500","48197268"
"ChIP-Seq","CMC_HBCC_364","HBCC_PFC_377_D","PEC_EpiMap_MSSM_DLPFC_Epigenomics_H3K27ac_NeuN-_HiSeq2500_CMC_HBCC_364","9_10","DLPFC","left","NeuN-","chunk","H3K27ac","Active Motif Cat # 39133","4.77","4","10","KK8502","paired-end",100,"C6RC5ANXX;C7HCYANXX","HiSeq2500","135479519"
"ChIP-Seq","CMC_HBCC_364","HBCC_PFC_377_B","PEC_EpiMap_MSSM_DLPFC_Epigenomics_H3K4me3_NeuN-_HiSeq2500_CMC_HBCC_364","9_10","DLPFC","left","NeuN-","chunk","H3K4me3","Cell Signaling Cat # 9751","2.3985","10","9","KK8502","paired-end",100,"C6RC5ANXX;C7HCYANXX","HiSeq2500","76616393"
"ChIP-Seq","CMC_HBCC_364","HBCC_PFC_377_C","PEC_EpiMap_MSSM_DLPFC_Epigenomics_H3K27ac_NeuN+_HiSeq2500_CMC_HBCC_364","9_10","DLPFC","left","NeuN+","chunk","H3K27ac","Active Motif Cat # 39133","9.495","4","9","KK8502","paired-end",100,"C74W7ANXX","HiSeq2500","95968805"
"ChIP-Seq","CMC_HBCC_364","HBCC_PFC_377_A","PEC_EpiMap_MSSM_DLPFC_Epigenomics_H3K4me3_NeuN+_HiSeq2500_CMC_HBCC_364","9_10","DLPFC","left","NeuN+","chunk","H3K4me3","Cell Signaling Cat # 9751","5.625","10","9","KK8502","paired-end",100,"C6RC5ANXX","HiSeq2500","42255506"
"ChIP-Seq","CMC_HBCC_375","HBCC_ACC_385_D","PEC_EpiMap_MSSM_ACC_Epigenomics_H3K27ac_NeuN-_HiSeq2500_CMC_HBCC_375",NA,"ACC","Left","NeuN-","chunk","H3K27ac","Active Motif Cat # 39133","19.98","4","2","KK8502","paired-end",100,"C6GACANXX","HiSeq2500","134081704"
"ChIP-Seq","CMC_HBCC_375","HBCC_ACC_385_B","PEC_EpiMap_MSSM_ACC_Epigenomics_H3K4me3_NeuN-_HiSeq2500_CMC_HBCC_375",NA,"ACC","Left","NeuN-","chunk","H3K4me3","Cell Signaling Cat # 9751","8.37","10","1","KK8502","paired-end",100,"C6BP4ANXX","HiSeq2500","50400684"
