	Astrocyte	Endothelial	Microglia	Oligodendrocyte	Neuron
SL452878	0.161171205	0.323365446	0.057596648	0.240213275	0.217653426
SL453305	0.177274913	0.264811974	0.08010354	0.206494301	0.271315272
SL450738	0.132539204	0.227996812	0.068448604	0.226648424	0.344366956
SL452972	0.179329627	0.284528394	0.063631077	0.221134636	0.251376266
SL453211	0.148665542	0.271673482	0.084182037	0.237538843	0.257940097
SL453306	0.176573397	0.234410874	0.085501517	0.215667951	0.287846261
SL452973	0.181539531	0.282925677	0.060340025	0.268707267	0.206487499
SL450739	0.156003062	0.230254363	0.059986347	0.213414163	0.340342065
SL450740	0.222510592	0.356483047	0.043836182	0.216353999	0.160816179
SL452974	0.15891888	0.238785882	0.072916132	0.213920183	0.315458923
SL452879	0.19406232	0.281031035	0.121830217	0.180983803	0.222092625
SL452594	0.176852019	0.297192872	0.08235702	0.229597541	0.214000548
SL452880	0.163505415	0.262928581	0.063880887	0.190947547	0.31873757
SL453212	0.200740477	0.307592089	0.037981854	0.213934948	0.239750633
SL452881	0.147941096	0.252219665	0.099797778	0.194925362	0.305116099
SL450741	0.148593245	0.268639789	0.105147154	0.206249132	0.27137068
SL450742	0.162391107	0.290682991	0.109151888	0.220038704	0.21773531
SL453903	0.166236934	0.227945971	0.124484325	0.184225823	0.297106947
SL453904	0.162787293	0.21057985	0.109791288	0.142164538	0.374677032
SL453905	0.148207101	0.224100221	0.102484118	0.185895736	0.339312824
SL452596	0.160093204	0.241041144	0.109707944	0.157380707	0.331777001
SL453214	0.160984637	0.221811413	0.089119328	0.159142289	0.368942333
SL452597	0.147577956	0.235601874	0.095172682	0.19621421	0.325433278
SL453906	0.154897166	0.229039183	0.081515335	0.169483152	0.365065164
SL450745	0.159283794	0.208889808	0.087943797	0.178260281	0.365622321
SL452598	0.170193838	0.230679254	0.068364526	0.244464458	0.286297923
SL452882	0.171694625	0.254082164	0.094971702	0.175914392	0.303337118
SL453389	0.184540211	0.290443015	0.06273352	0.159216032	0.303067222
SL452681	0.178802248	0.248151537	0.104029651	0.155414453	0.313602111
SL453057	0.131680975	0.221064218	0.11386223	0.120749746	0.412642831
SL453476	0.228649406	0.359220654	0.056041042	0.160820903	0.195267994
SL452682	0.124902099	0.231465089	0.069362202	0.172926744	0.401343867
SL453388	0.165593197	0.252663365	0.123347763	0.192306586	0.266089089
SL452967	0.167404512	0.230525529	0.055938645	0.159759963	0.386371351
SL452683	0.216719293	0.26208715	0.077033297	0.148097826	0.296062434
SL453907	0.175414793	0.221647324	0.069630379	0.196631324	0.33667618
SL452599	0.14584196	0.271772557	0.122577062	0.267587546	0.192220875
SL453215	0.190614588	0.248960227	0.062942063	0.236937159	0.260545962
SL450746	0.164198053	0.234131505	0.087873732	0.179759455	0.334037254
SL450747	0.170186543	0.261973488	0.072934476	0.173960811	0.320944681
SL453216	0.158076986	0.208282504	0.087367179	0.171104526	0.375168806
SL452603	0.165767305	0.255021668	0.100160551	0.189369732	0.289680744
SL453308	0.160627284	0.233711251	0.093230088	0.170216859	0.342214518
SL450748	0.194662988	0.307942426	0.08559074	0.227693201	0.184110645
SL453217	0.168403047	0.255300693	0.092882073	0.212879255	0.270534932
SL452885	0.168716803	0.245448931	0.084720029	0.149137509	0.351976728
SL453399	0.156393282	0.228414579	0.069248484	0.15084718	0.395096475
SL452976	0.163904384	0.225070281	0.086571811	0.199214106	0.325239418
SL452886	0.179895075	0.295080069	0.065459803	0.282061103	0.17750395
