	Astrocyte	Endothelial	Microglia	Oligodendrocyte	Neuron
SL283585	0.156868239	0.296553447	0.106215049	0.189895095	0.25046817
SL283586	0.181168048	0.248660675	0.097859949	0.162718221	0.309593107
SL283598	0.142479233	0.213369002	0.074693273	0.215975962	0.353482531
SL283596	0.180878457	0.259712919	0.075656024	0.21059249	0.273160109
SL283592	0.171657267	0.250418358	0.079082611	0.207814127	0.291027638
SL283588	0.173717266	0.21745868	0.087938606	0.178562894	0.342322555
SL283600	0.190578167	0.249736548	0.071153141	0.207682274	0.280849869
SL283594	0.153227053	0.209541587	0.082683341	0.18823774	0.36631028
SL283590	0.232638696	0.338193575	0.04724408	0.182159454	0.199764195
SL283602	0.155711891	0.218849263	0.080296379	0.23475692	0.310385547
SL283608	0.18234312	0.236326036	0.115807714	0.176621039	0.288902091
SL283604	0.170776919	0.234521224	0.086904706	0.211791486	0.296005664
SL283606	0.168932383	0.226070942	0.060290271	0.195380902	0.349325502
SL283616	0.215516548	0.289418657	0.060067267	0.157807891	0.277189637
SL283610	0.143597111	0.241581259	0.090233031	0.150115125	0.374473474
SL283612	0.16097742	0.246533789	0.107945156	0.158268797	0.326274838
SL283614	0.165138562	0.245375905	0.118445905	0.186355399	0.284684228
SL283617	0.1604567	0.223835446	0.122082915	0.187650609	0.30597433
SL283566	0.163604007	0.198799765	0.113018241	0.132378485	0.392199502
SL283568	0.14975927	0.221241952	0.106583593	0.168339386	0.354075799
SL283570	0.160734636	0.268394783	0.108706355	0.107852982	0.354311244
SL283572	0.152528123	0.217650607	0.087055598	0.173381357	0.369384315
SL283574	0.155543698	0.210712886	0.089485054	0.211775533	0.332482829
SL283576	0.159598772	0.213265154	0.098600779	0.131937291	0.396598004
SL283578	0.158948964	0.213647958	0.082436034	0.160830303	0.384136741
SL283580	0.168780401	0.220893854	0.07551819	0.174752511	0.360055044
SL283582	0.167236286	0.237301435	0.096779945	0.170280372	0.328401963
SL283595	0.190192586	0.274985507	0.065987723	0.138560906	0.330273278
SL283591	0.182272912	0.229159486	0.101030171	0.143937139	0.343600292
SL283587	0.144297754	0.212497154	0.114448373	0.116051958	0.412704762
SL283597	0.23696307	0.341302389	0.059482604	0.14461008	0.217641856
SL283603	0.139439576	0.213763572	0.075690792	0.165398481	0.40570758
SL283589	0.169017345	0.238806727	0.123733182	0.175373918	0.293068828
SL283605	0.166563332	0.219750869	0.058791508	0.153253964	0.401640327
SL283599	0.210831556	0.235098874	0.089206242	0.116853607	0.348009721
SL283593	0.181196614	0.222040548	0.078129423	0.154273497	0.364359918
SL283618	0.143277111	0.283214689	0.13803031	0.168304683	0.267173206
SL283601	0.187893525	0.23480844	0.083217283	0.173353864	0.320726888
SL283565	0.159511068	0.206645752	0.092402976	0.239703902	0.301736302
SL283567	0.17143721	0.229306513	0.078008081	0.184425547	0.336822649
SL283569	0.153264609	0.203751164	0.094070326	0.174325522	0.37458838
SL283571	0.158494733	0.232651304	0.096473484	0.195648218	0.316732261
SL283573	0.15799849	0.21532974	0.093401489	0.167730952	0.365539329
SL283575	0.198970361	0.300255268	0.097365007	0.192997249	0.210412115
SL283577	0.170522072	0.242833369	0.094566521	0.173090801	0.318987238
SL283579	0.158420883	0.228393435	0.086970716	0.159205934	0.367009032
SL283581	0.160467529	0.216139051	0.089712041	0.120155495	0.413525885
SL283583	0.161724335	0.225686702	0.0997538	0.166726158	0.346109005
SL283584	0.185813503	0.271739108	0.086077075	0.149155342	0.307214972
