"IlmnID"	"CETS.seqnames"	"CETS.start"	"CETS.end"	"CETS.strand"	"neuron"	"glia"	"region_type"	"symbol"	"CpG_Gene_Region"	"Endothelial_Genes"	"GabaPV_Genes"	"GabaRelnCalb_Genes"	"GabaVIPReln_Genes"	"Microglia_Genes"	"Microglia_activation_Genes"	"Microglia_deactivation_Genes"	"Oligo_Genes"	"OligoPrecursors_Genes"	"Pyramidal_Genes"	"Astrocyte_Genes"
"cg25641997"	"chr11"	64068491	64068491	"+"	0.437417603685434	0.162294317367382	"Up1to5Kb"	"ESRRA"	"cg25641997_ESRRA_Up1to5Kb"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"cg00351119"	"chr6"	143836747	143836747	"-"	0.752878932498588	0.324341110530812	"Up1to5Kb"	"FUCA2"	"cg00351119_FUCA2_Up1to5Kb"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"cg04498739"	"chr7"	95226308	95226308	"-"	0.447482829023757	0.074802928970321	"Promoters"	"PDK4"	"cg04498739_PDK4_Promoters"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Yes"
"cg06849477"	"chr22"	45072724	45072724	"+"	0.686441233900999	0.239065027650228	"Promoters"	"PRR5"	"cg06849477_PRR5_Promoters"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Yes"
"cg09911755"	"chr17"	45899773	45899773	"-"	0.585975139107296	0.190260236264836	"Up1to5Kb"	"OSBPL7"	"cg09911755_OSBPL7_Up1to5Kb"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"cg09315887"	"chr7"	105753386	105753386	"-"	0.16519969823666	0.570272990734608	"Promoters"	"SYPL1"	"cg09315887_SYPL1_Promoters"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"cg18801311"	"chr12"	6417620	6417620	"+"	0.811081915451274	0.580099060329741	"Up1to5Kb"	"PLEKHG6"	"cg18801311_PLEKHG6_Up1to5Kb"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"cg02636659"	"chr7"	150928707	150928707	"+"	0.415219258826553	0.86616572326175	"Promoters"	"CHPF2"	"cg02636659_CHPF2_Promoters"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"cg11808874"	"chr2"	70529494	70529494	"-"	0.54749471203016	0.842946711307996	"Up1to5Kb"	"FAM136A"	"cg11808874_FAM136A_Up1to5Kb"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"cg17332638"	"chr2"	70529497	70529497	"-"	0.487545490126874	0.753033216476765	"Up1to5Kb"	"FAM136A"	"cg17332638_FAM136A_Up1to5Kb"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"cg09590068"	"chr12"	54400494	54400494	"+"	0.307313098316497	0.68080020992833	"Up1to5Kb"	"HOXC8"	"cg09590068_HOXC8_Up1to5Kb"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
